cer	t͡ʃ e r
mulțumind	m u l t s u m i n d
orientezi	o r i e n t e zʲ
funcționați	f u n k t͡s i o n a t͡sʲ
lingura	l i ŋ ɡ u r a
grăbirăți	ɡ r ə b i r ə t sʲ
cetățeancă	t͡ʃ e t ə t͡s e̯ a n k ə
grăbiți	ɡ r ə b i t͡sʲ
străluc	s t r ə l u k
analizeze	a n a l i z e z e
scrotal	s k r o t a l
perfectaserăți	p e r f e k t a s e r ə t sʲ
amaneta	a m a n e t a
baba	b a b a
deranjarăm	d e r a n ʒ a r ə m
paupertate	p a u p e r t a t e
protejez	p r o t e ʒ e z
memoria	m e m o r i a
lingură	l i ŋ ɡ u r ə
coreean	k o r e e̯ a n
nălucita	n ə l u t͡ʃ i t a
mărturiseai	m ə r t u r i s j a j
mori	m o rʲ
dușmănita	d u ʃ m ə n i t a
frec	f r e k
slovene	s l o v e n e
șoptească	ʃ o p t j a s k ə
jure	ʒ u r e
stimulaserăți	s t i m u l a s e r ə t sʲ
întâlnita	ɨ n t ɨ l n i t a
pregătii	p r e ɡ ə t iː
întâlnitei	ɨ n t ɨ l n i t e j
șoptești	ʃ o p t e ʃ tʲ
plictisitul	p l i k t i s i t u
facă	f a k ə
șoptiții	ʃ o p t i t͡s iː
serile	s e r i l e
matematică	m a t e m a t i k ə
piure	p j u r e
nălucisem	n ə l u t ʃ i s e m
atrocitățile	a t r o t͡ʃ i t ə t͡s i l e
foarte	f o̯ a r t e
mărturisitei	m ə r t u r i s i t e j
prețuiești	p r e t͡s u i e ʃ tʲ
șantajaserăți	ʃ a n t a ʒ a s e r ə t͡sʲ
sălbatică	s ə l b a t i k ə
șase	ʃ a s e
apocalipsului	a p o k a l i p s u l u j
sobă	s o b ə
dușmănitele	d u ʃ m ə n i t e l e
pornii	p o r n iː
plictisești	p l i k t i s e ʃ tʲ
ubicuitate	u b i k u i t a t e
omniprezenților	o m n i p r e z e n t͡s i l o r
scrisoare	s k r i s o̯ a r e
dovedi	d o v e d i
prietenii	p r i e t e n iː
gândi	ɡ ɨ n d i
burete	b u r e t e
sugeți	s u d͡ʒ e t͡sʲ
sufletele	s u f l e t e l e
azer	a z e r
șantajarăți	ʃ a n t a ʒ a r ə t͡sʲ
plictisiții	p l i k t i s i t͡s iː
anatema	a n a t e m a
tentam	t e n t a m
mărturisisem	m ə r t u r i s i s e m
întărit	ɨ n t ə r i t
plictisitelor	p l i k t i s i t e l o r
citi	t ʃ i t i
delireze	d e l i r e z e
anusurile	a n u s u r i l e
numitului	n u m i t u l u j
perfectași	p e r f e k t a ʃʲ
acceleraseră	a k t͡ʃ e l e r a s e r ə
români	r o m ɨ nʲ
pizdar	p i z d a ɾ
șoptita	ʃ o p t i t a
răpesc	r ə p e s k
zăpușeai	z ə p u ʃ j a j
răpitei	r ə p i t e j
olandez	o l a n d e z
complexități	c o m p l e k s i t ə t͡sʲ
futuți	f u t u t͡sʲ
sexuale	s e k s u a l e
numiți	n u m i t͡sʲ
du	d u
enigmatică	e n i ɡ m a t i k ə
cuvântului	k u v ɨ n t u l u j
minoritate	m i n o r i t a t e
stimulam	s t i m u l a m
erotica	e r o t i k a
protejau	p r o t e ʒ a w
numiseră	n u m i s e r ə
deranjai	d e r a n ʒ a j
prietenului	p r i e t e n u l u j
răspuns	ɾ ə s p u n s
homosexualii	h o m o s e k s u a l iʲ
făcurăm	f ə k u r ə m
românescul	r o m ɨ n e s k u
slovenilor	s l o v e n i l o r
iacobescu	i a k o b e s k u
bărbie	b ə r b i e
necăjeați	n e k ə ʒ j a t sʲ
pulilor	p u l i l o r
prepoziție	p r e p o z i t͡s i e
necăjita	n e k ə ʒ i t a
înzestreze	ɨ n z e s t r e z e
primiserăți	p r i m i s e r ə t sʲ
fete	f e t e
mumu	m u m u
atmosferă	a t m o s f e r ə
veștejiseră	v e ʃ t e ʒ i s e r ə
năluciseși	n ə l u t ʃ i s e ʃʲ
vieții	v j e t s iː
găsise	ɡ ə s i s e
primiși	p r i m i ʃʲ
țaro	t͡s a r o
murind	m u r i n d
zăpușiserăți	z ə p u ʃ i s e r ə t sʲ
fața	f a t s a
distrase	d i s t r a s e
anonimitate	a n o n i m i t a t e
discrete	d i s k r e t e
analizaseși	a n a l i z a s e ʃʲ
găsesc	ɡ ə s e s k
jertfă	ʒ e r t f ə
mișcare	m i ʃ k a r e
mulțumește	m u l t s u m e ʃ t e
delimitași	d e l i m i t a ʃʲ
lipsitul	l i p s i t u
funcționând	f u n k t͡s i o n ɨ n d
băiețașii	b ə j e t s a ʃ iː
funcționaserăm	f u n k t͡s i o n a s e r ə m
perineali	p e r i n e a lʲ
câștig	k ɨ ʃ t i ɡ
mărturisiții	m ə r t u r i s i t͡s iː
păianjen	p ə j a n ʒ e n
băiețașilor	b ə j e t s a ʃ i l o r
ghiduri	ɡ i d u rʲ
mănâncă	m ə n ɨ n k ə
vorbită	v o r b i t ə
paradoxuri	p a r a d o k s u rʲ
pălămidă	p ə l ə m i d ə
zgardă	z ɡ a r d ə
răpitul	r ə p i t u l
urinezi	u r i n e zʲ
mâncam	m ɨ n k a m
alfabetului	a l f a b e t u l u j
îmbunătățim	ɨ m b u n ə t ə t s i m
perfectă	p e r f e k t ə
clădind	k l ə d i n d
puloși	p u l o ʃʲ
veștejim	v e ʃ t e ʒ i m
oprim	o p r i m
adorai	a d o r a j
gripă	ɡ r i p ə
tare	t a r e
perfectai	p e r f e k t a j
ubicuă	u b i k u ə
sperai	s p e r a j
perfectase	p e r f e k t a s e
epocă	e p o k ə
reali	r e a lʲ
lipsita	l i p s i t a
drepturi	d r e p t u rʲ
mărturisiseră	m ə r t u r i s i s e r ə
zăpușitelor	z ə p u ʃ i t e l o r
călătoriși	k ə l ə t o r i ʃʲ
evlaviosul	e v l a v i o s u
lingi	l i n d ʒʲ
plictisirăm	p l i k t i s i r ə m
ales	a l e s
perfectam	p e r f e k t a m
sângerau	s ɨ n d͡ʒ e r a w
ucide	u t ʃ i d e
fetelor	f e t e l o r
mizericordie	m i z e r i k o r d i e
abandonași	a b a n d o n a ʃʲ
sfântă	s f ɨ n t ə
penisul	p e n i s u l
cușer	k u ʃ e r
excavai	e k s k a v a j
învăța	ɨ n v ə t s a
îmbunătăți	ɨ m b u n ə t ə t s i
sexuali	s e k s u a lʲ
venerase	v e n e r a s e
dap	d a p̚
sănătos	s ə n ə t o s
descărca	d e s k ə r k a
asurzesc	a s u r z e s k
aceste	a t͡ʃ e s t e
franțuzește	f r a n t͡s u z e ʃ t e
fur	f u r
iluzoria	i l u z o r i a
excavează	e k s k a v j a z ə
cățea	k ə t s e̯ a
găsită	ɡ ə s i t ə
vigilență	v i d͡ʒ i l e n t͡s ə
sunteți	s ɨ n t e t͡sʲ
porni	p o r n i
cerneală	t ʃ e r n e̯ a l ə
excitat	e k s t ʃ i t a t
arșinic	a r ʃ i n i k
întristau	ɨ n t r i s t a w
veștejesc	v e ʃ t e ʒ e s k
mulțumim	m u l t s u m i m
macabrul	m a k a b r u l
limitezi	l i m i t e zʲ
asurzea	a s u r z j a
dezbrăca	d e z b r ə k a
formași	f o r m a ʃʲ
sexualele	s e k s u a l e l e
pornograficii	p o r n o ɡ r a f i t͡ʃ i j
folosiserăm	f o l o s i s e r ə m
prezice	p r e z i t͡ʃ e
întâlneai	ɨ n t ɨ l n j a j
florina	f l o r i n a
controlarăți	k o n t r o l a r ə t sʲ
delirez	d e l i r e z
giuvaier	d͡ʒ i w v a j e r
grăbitul	ɡ r ə b i t u
chin	c i n
omniprezentului	o m n i p r e z e n t u l u j
apocalipticul	a p o k a l i p t i k u l
sacră	s a k r ə
vagin	v a d͡ʒ i n
neutra	n e u t r a
paradoxurilor	p a r a d o k s u r i l o r
acelorași	a t͡ʃ e l o r a ʃʲ
năluciră	n ə l u t ʃ i r ə
pierdut	p j e r d u t
clădea	k l ə d j a
zăpușiseră	z ə p u ʃ i s e r ə
evlavioaselor	e v l a v i o̯ a s e l o r
clare	k l a r e
stimulaseră	s t i m u l a s e r ə
șoptiți	ʃ o p t i t͡sʲ
anusurilor	a n u s u r i l o r
fu	f u
ataraxie	a t a r a k s i e
tovărășie	t o v ə r ə ʃ i e
cosmina	c o s m i n a
șantajații	ʃ a n t a ʒ a t͡s iː
atrocitate	a t r o t͡ʃ i t a t e
gravitate	ɡ r a v i t a t e
pune	p u n e
găsiseși	ɡ ə s i s e ʃʲ
iubirile	j u b i r i l e
socializa	s o t͡ʃ i a l i z a
tatălui	t a t ə l u j
înzestra	ɨ n z e s t r a
dușmănirăm	d u ʃ m ə n i r ə m
iubiserăți	j u b i s e r ə t͡sʲ
erau	e r a w
gânditul	ɡ ɨ n d i t u
papi	p a pʲ
dușmăniserăți	d u ʃ m ə n i s e r ə t sʲ
buc	b u k
controlaserăm	k o n t r o l a s e r ə m
pișa	p i ʃ a
perfectați	p e r f e k t a t͡sʲ
laboare	l a b o a r e
înzestrezi	ɨ n z e s t r e zʲ
dorință	d o r i n t͡s ə
beat	b e̯ a t
formai	f o r m a j
clar	k l a r
prieten	p r i e t e n
numiții	n u m i t͡s iː
cenzurarăți	t͡ʃ e n z u r a r ə t sʲ
sunt	s u n t
răpeai	r ə p j a j
orientaseși	o r i e n t a s e ʃʲ
accelerase	a k t͡ʃ e l e r a s e
pornografului	p o r n o ɡ r a f u l u j
mulțumeau	m u l t s u m j a w
pregătitului	p r e ɡ ə t i t u l u j
futuserăm	f u t u s e r ə m
produci	p r o d u t͡ʃʲ
narcotiza	n a r k o t i z a
comporta	k o m p o r t a
întristez	ɨ n t r i s t e z
erogene	e r o d͡ʒ e n e
întristarăți	ɨ n t r i s t a r ə t sʲ
creai	k r e a j
protejat	p r o t e ʒ a t
ubicuele	u b i k u e l e
zăpușita	z ə p u ʃ i t a
vorbim	v o r b i m
reginelor	r e d͡ʒ i n e l o r
grăbitei	ɡ r ə b i t e j
alcoolic	a l k o o l i k
primeați	p r i m j a t sʲ
eroticele	e r o t i t͡ʃ e l e
găsirăți	ɡ ə s i r ə t sʲ
întâlnești	ɨ n t ɨ l n e ʃ tʲ
creează	k r e e̯ a z ə
dai	d a j
mărturisiseși	m ə r t u r i s i s e ʃʲ
iubirăți	j u b i r ə t͡sʲ
întărită	ɨ n t ə r i t ə
că	k ə
asurzisem	a s u r z i s e m
zăpușii	z ə p u ʃ iː
sunt	s ɨ n t
lună	l u n ə
șantajăm	ʃ a n t a ʒ ə m
oprisem	o p r i s e m
orienta	o r i e n t a
păianjenii	p ə j a n ʒ e n iː
numești	n u m e ʃ tʲ
clădire	k l ə d i r e
pornise	p o r n i s e
numească	n u m j a s k ə
biofizică	b i o f i z i k ə
rabat	r a b a t
zăpușitului	z ə p u ʃ i t u l u j
spovedi	s p o v e d i
facilitate	f a t ʃ i l i t a t e
jurase	ʒ u r a s e
atrocități	a t r o t͡ʃ i t ə t͡sʲ
răpeați	r ə p j a t sʲ
pilotarăm	p i l o t a a r ə m
orgasmic	o r ɡ a s m i k
copilul	k o p i l u
găsitelor	ɡ ə s i t e l o r
delimitând	d e l i m i t ɨ n d
iubire	j u b i r e
iubesc	j u b e s k
masturbații	m a s t u r b a t͡s iː
homosexualei	h o m o s e k s u a l e j
omniprezenții	o m n i p r e z e n t͡s iː
puli	p u lʲ
cetățene	t͡ʃ e t ə t͡s e n e
cântărețe	k ɨ n t ə r e t͡s e
avansă	a v a n s ə
pornitul	p o r n i t u
catalană	k a t a l a n ə
oprită	o p r i t ə
numelui	n u m e l u j
sodomizatele	s o d o m i z a t e l e
soarele	s o̯ a r e l e
șoptirăți	ʃ o p t i r ə t sʲ
ungur	u ŋ ɡ u r
somarăm	s o m a r ə m
cambodgia	k a m b o d͡ʒ i a
românescul	r o m ɨ n e s k u l
lucrurile	l u k r u r i l e
rinichi	r i n i kʲ
daci	d a t͡ʃʲ
somați	s o m a t͡sʲ
înzestrară	ɨ n z e s t r a r ə
plictisiserăți	p l i k t i s i s e r ə t sʲ
armăsarului	a r m ə s a r u l u j
frecară	f r e k a r ə
găsiților	ɡ ə s i t͡s i l o r
fostă	f o s t ə
tatuând	t a t u ɨ n d
sufletelor	s u f l e t e l o r
îmbunătățirăm	ɨ m b u n ə t ə t s i r ə m
ubicuii	u b i k u iː
plictisiră	p l i k t i s i r ə
întăritei	ɨ n t ə r i t e j
prezentare	p r e z e n t a r e
călătorise	k ə l ə t o r i s e
sfârșisem	s f ɨ r ʃ i s e m
vorbirăm	v o r b i r ə m
distrarăm	d i s t r a r ə m
fie	f i e
tastatură	t a s t a t u r ə
supsei	s u p s e j
sodomizeze	s o d o m i z e z e
delimitat	d e l i m i t a t
ou	o w
excavă	e k s k a v ə
deliram	d e l i r a m
câștiga	k ɨ ʃ t i ɡ a
omorî	o m o r ɨ
abandonai	a b a n d o n a j
regelui	r e d͡ʒ e l u j
tenteze	t e n t e z e
șoptea	ʃ o p t j a
cumnat	k u m n a t
admire	a d m i r e
tatuajelor	t a t u a ʒ e l o r
șantajului	ʃ a n t a ʒ u l u j
lipsiți	l i p s i t͡sʲ
substanțe	s u b s t a n t͡s e
vorbi	v o r b i
întristaseră	ɨ n t r i s t a s e r ə
grăbiseră	ɡ r ə b i s e r ə
nălucite	n ə l u t͡ʃ i t e
albaneze	a l b a n e z e
sfârc	s f ɨ r k
tentant	t e n t a n t
evlavie	e v l a v i e
slovacă	s l o v a k ə
îmbunătățesc	ɨ m b u n ə t ə t s e s k
anțărț	a n t s ə r t s
făcuseră	f ə k u s e r ə
macabra	m a k a b r a
zăpușesc	z ə p u ʃ e s k
reghin	r e ɡ i n
întăritului	ɨ n t ə r i t u l u j
controlau	k o n t r o l a w
zahărului	z a h ə r u l u j
tentă	t e n t ə
necăjea	n e k ə ʒ j a
studia	s t u d i a
perineal	p e r i n e a l
perfect	p e r f e k t
bumbac	b u m b a k
stimularăm	s t i m u l a r ə m
sfârșiserăm	s f ɨ r ʃ i s e r ə m
sfârșeați	s f ɨ r ʃ j a t sʲ
mărturisitelor	m ə r t u r i s i t e l o r
mărturisitele	m ə r t u r i s i t e l e
cultura	k u l t u r a
mulțumii	m u l t s u m iː
mâncaserăți	m ɨ n k a s e r ə t͡sʲ
sandviș	s a n d v i ʃ
țări	t s ə rʲ
apelor	a p e l o r
zăpușit	z ə p u ʃ i t
ubicue	u b i k u e
analizasem	a n a l i z a s e m
spovediți	s p o v e d i t͡sʲ
testicul	t e s t i k u l
delimitase	d e l i m i t a s e
fură	f u r ə
bibescu	b i b e s k u
grăbeam	ɡ r ə b j a m
stimulași	s t i m u l a ʃʲ
făcusem	f ə k u s e m
distrarăți	d i s t r a r ə t sʲ
urinai	u r i n a j
răpit	r ə p i t
sodomizate	s o d o m i z a t e
geantă	d͡ʒ e̯ a n t ə
necăjitului	n e k ə ʒ i t u l u j
spoveditului	s p o v e d i t u l u j
fantezii	f a n t e z iː
iubiri	j u b i rʲ
seri	s e rʲ
folosiserăți	f o l o s i s e r ə t sʲ
asurziți	a s u r z i t͡sʲ
pianist	p i a n i s t
finlanda	f i n l a n d a
cumnate	k u m n a t e
analizarăm	a n a l i z a r ə m
răpeau	r ə p j a w
excavase	e k s k a v a s e
muri	m u r i
porneai	p o r n j a j
făcuserăm	f ə k u s e r ə m
mărturisita	m ə r t u r i s i t a
perfectez	p e r f e k t e z
formarăți	f o r m a r ə t͡sʲ
soțul	s o t͡s u
tatuai	t a t u a j
masturbați	m a s t u r b a t͡sʲ
necăjește	n e k ə ʒ e ʃ t e
formaserăți	f o r m a s e r ə t͡sʲ
băiețeii	b ə j e t s e j i
bulgar	b u l ɡ a r
soporifer	s o p o r i f e r
temelie	t e m e l i e
citeau	t ʃ i t j a w
dușmănitelor	d u ʃ m ə n i t e l o r
mărturisește	m ə r t u r i s e ʃ t e
mulțumesc	m u l t͡s u m e s k
tentaseși	t e n t a s e ʃʲ
exista	e ɡ z i s t a
criminal	k r i m i n a l
citirăm	t ʃ i t i r ə m
tovarăș	t o v a r ə ʃ
funcționezi	f u n k t͡s i o n e zʲ
aburit	a b u r i t
primește	p r i m e ʃ t e
mulțumită	m u l t͡s u m i t ə
rânduri	r ɨ n d u rʲ
boașele	b o̯ a ʃ e l e
trei	t r e j
clăditele	k l ə d i t e l e
veștejita	v e ʃ t e ʒ i t a
șantajuri	ʃ a n t a ʒ u rʲ
coapse	k o̯ a p s e
dimineții	d i m i n e t s iː
coreea	k o r e j a
nălucitei	n ə l u t͡ʃ i t e j
lucrurilor	l u k r u r i l o r
creeze	k r e e z e
eroticului	e r o t i k u l u j
cuvinte	k u v i n t e
călătoriserăm	k ə l ə t o r i s e r ə m
moldova	m o l d o v a
homosexuală	h o m o s e k s u a l ə
specialitate	s p e t͡ʃ i a l i t a t e
țară	t s a r ə
cititei	t͡ʃ i t i t e j
lindic	l i n d i k
zăpușiseși	z ə p u ʃ i s e ʃʲ
nălucește	n ə l u t ʃ e ʃ t e
răbda	r ə b d a
limitez	l i m i t e z
înțelegeți	ɨ n t s e l e d ʒ e t sʲ
gândeai	ɡ ɨ n d j a j
mâncai	m ɨ n k a j
aerodrom	a e r o d r o m
alfabetelor	a l f a b e t e l o r
maturitate	m a t u r i t a t e
andorra	a n d o r a
telega	t e l ɛ ɡ a
întristați	ɨ n t r i s t a t͡sʲ
masturbaserăți	m a s t u r b a s e r ə t͡sʲ
torturăm	t o r t u r ə m
accelerat	a k t͡ʃ e l e r a t
primitele	p r i m i t e l e
muistă	m u i s t ə
delirurilor	d e l i r u r i l o r
isus	i s u s
întâlneam	ɨ n t ɨ l n j a m
clăditului	k l ə d i t u l u j
urăște	u r ə ʃ t e
podea	p o d e̯ a
așadar	a ʃ a d a r
iudaism	j u d a i s m
mingi	m i n d͡ʒʲ
urineze	u r i n e z e
albastru	a l b a s t ɾ u
supseră	s u p s e r ə
boteza	b o t e z a
fanteziei	f a n t e z i e j
înzestrată	ɨ n z e s t r a t ə
păcurar	p ə k u r a r
abil	a b i l
îmbrăcat	ɨ m b r ə k a t
șantaja	ʃ a n t a ʒ a
pătură	p ə t u r ə
slovena	s l o v e n a
puța	p u t͡s a
înzestrai	ɨ n z e s t r a j
îmbunătățeați	ɨ m b u n ə t ə t s j a t sʲ
daneză	d a n e z ə
îmbunătățitei	ɨ m b u n ə t ə t͡s i t e j
orientează	o r i e n t j a z ə
întăriserăm	ɨ n t ə r i s e r ə m
schizofrenie	s k i z o f r e n i e
șoptitului	ʃ o p t i t u l u j
grăbii	ɡ r ə b iː
veștejiserăți	v e ʃ t e ʒ i s e r ə t͡sʲ
asurzim	a s u r z i m
homosexuali	h o m o s e k s u a lʲ
alte	a l t e
gândite	ɡ ɨ n d i t e
folosiseră	f o l o s i s e r ə
răsfoi	r ə s f o i
sfârșiră	s f ɨ r ʃ i r ə
zilnic	z i l n i k
explica	e k s p l i k a
spor	s p o r
evlavioșilor	e v l a v i o ʃ i l o r
veștejitul	v e ʃ t e ʒ i t u
limbii	l i m b iː
piedestal	p j e d e s t a l
călătorisem	k ə l ə t o r i s e m
dreaptă	d r e̯ a p t ə
salamură	s a l a m u r ə
cădea	k ə d e̯ a
vorbiră	v o r b i r ə
ghizi	ɡ i zʲ
viață	v j a t s ə
sângeră	s ɨ n d͡ʒ e r ə
somai	s o m a j
necăjiți	n e k ə ʒ i t͡sʲ
necăjesc	n e k ə ʒ e s k
ejaculau	e ʒ a k u l a w
răpiră	r ə p i r ə
simulare	s i m u l a r e
formatului	f o r m a t u l u j
dușmănită	d u ʃ m ə n i t ə
întristasem	ɨ n t r i s t a s e m
sângeros	s ɨ n d͡ʒ e r o s
dobrescu	d o b r e s k u
amarilișilor	a m a r i l i ʃ i l o r
frumoasă	f r u m o̯ a s ə
oprit	o p r i t
rusia	r u s i a
pregăteați	p r e ɡ ə t j a t sʲ
crearăm	k r e a r ə m
pregătiși	p r e ɡ ə t i ʃʲ
abandonasem	a b a n d o n a s e m
nălucitul	n ə l u t͡ʃ i t u
iubisem	j u b i s e m
poponar	p o p o n a r
faptul	f a p t u
infix	i n f i k s
întâlnind	ɨ n t ɨ l n i n d
excavarăți	e k s k a v a r ə t sʲ
seșă	s e ʃ ə
apa	a p a
sfârșeau	s f ɨ r ʃ j a w
anarhist	a n a r h i s t
substanță	s u b s t a n t͡s ə
punem	p u n e m
năluci	n ə l u t͡ʃʲ
macabrii	m a k a b r i j
veștejită	v e ʃ t e ʒ i t ə
foști	f o ʃ tʲ
expoziție	e k s p o z i t͡s i e
pansexualitate	p a n s e k s u a l i t a t e
copii	k o p i j
delimitasem	d e l i m i t a s e m
piloteze	p i l o t a e z e
fumam	f u m a m
constituționalitate	c o n s t i t u t͡s i o n a l i t a t e
slobozi	s l o b o z i
catalonia	k a t a l o n i a
șantajând	ʃ a n t a ʒ ɨ n d
lumi	l u mʲ
cartă	k a r t ə
maro	m a ɾ o
balcoane	b a l k o̯ a n e
masturbaseși	m a s t u r b a s e ʃʲ
tatuaj	t a t u a ʒ
potabil	p o t a b i l
slab	s l a b
oprea	o p r j a
ăștia	ə ʃ t j a
clădiserăm	k l ə d i s e r ə m
răpii	r ə p iː
indiscreție	i n d i s k r e t͡s i e
simpli	s i m p l i
ultime	u l t i m e
vampire	v a m p i r e
varujan	v a r u ʒ a n
liniști	l i n i ʃ t i
vorbiserăți	v o r b i s e r ə t͡sʲ
sugere	s u d͡ʒ e r e
copilului	k o p i l u l u j
minusculi	m i n u s k u lʲ
excavezi	e k s k a v e zʲ
prezervativ	p r e z e r v a t i v
nicicând	n i t͡ʃʲ k ɨ n d
cenzurează	t͡ʃ e n z u r j a z ə
italia	i t a l i a
întăriții	ɨ n t ə r i t͡s iː
seducție	s e d u k t͡s i e
zice	z i t ʃ e
secole	s e k o l e
îți	ɨ t sʲ
sângerași	s ɨ n d͡ʒ e r a ʃʲ
perfecte	p e r f e k t e
privi	p r i v i
baltă	b a l t ə
moldovenească	m o l d o v e n e̯ a s k ə
gard	ɡ a r d
accelera	a k t ʃ e l e r a
ascuns	a s k u n s
ejaculaseși	e ʒ a k u l a s e ʃʲ
nălucii	n ə l u t ʃ iː
necăjiserăm	n e k ə ʒ i s e r ə m
năluceam	n ə l u t ʃ j a m
deranjați	d e r a n ʒ a t͡sʲ
poartă	p o̯ a r t ə
subraț	s u b r a t s
fututelor	f u t u t e l o r
americană	a m e r i k a n ə
scrumierele	s k r u m i e r e l e
mulțumitul	m u l t͡s u m i t u l
vârcolac	v ɨ r k o l a k
fiindcă	f i i n d k ə
funcționează	f u n k t͡s i o n j a z ə
cataloniei	k a t a l o n i e j
prezervativului	p r e z e r v a t i v u l u j
fuseși	f u s e ʃʲ
busolă	b u s o l ə
primi	p r i mʲ
seduc	s e d u k
substantive	s u b s t a n t i v e
sonet	s o n e t
deranjat	d e r a n ʒ a t
vînt	v ɨ n t
aburi	a b u r i
fuserăți	f u s e r ə t͡sʲ
dumitrescu	d u m i t r e s k u
azere	a z e r e
apocalipselor	a p o k a l i p s e l o r
gravitasem	ɡ r a v i t a s e m
misteriosul	m i s t e r i o s u l
asurzitelor	a s u r z i t e l o r
macabrei	m a k a b r e j
clădită	k l ə d i t ə
mulțumiserăm	m u l t s u m i s e r ə m
necăjiserăți	n e k ə ʒ i s e r ə t sʲ
delirai	d e l i r a j
audacie	a u d a t͡ʃ i e
mâncaserăm	m ɨ n k a s e r ə m
somnambuliști	s o m n a m b u l i ʃ tʲ
culturile	k u l t u r i l e
fumaseră	f u m a s e r ə
năstăsescu	n ə s t ə s e s k u
dezgusta	d e z ɡ u s t a
sfânt	s f ɨ n t
tatuaseră	t a t u a s e r ə
futuseși	f u t u s e ʃʲ
analiză	a n a l i z ə
arbore	a r b o r e
potcoavă	p o t k o̯ a v ə
scris	s k r i s
necăjiseși	n e k ə ʒ i s e ʃʲ
găsiși	ɡ ə s i ʃʲ
grăbitul	ɡ r ə b i t u l
dansa	d a n s a
călătorească	k ə l ə t o r j a s k ə
pornografie	p o r n o ɡ r a f i e
omul	o m u l
omul	o m u
frecam	f r e k a m
pitic	p i t i k
primiseși	p r i m i s e ʃʲ
rar	r a r
ubicua	u b i k u a
urinez	u r i n e z
manechinelor	m a n e k i n e l o r
răpiserăți	r ə p i s e r ə t sʲ
scald	s k a l d
plictisim	p l i k t i s i m
cenzurași	t͡ʃ e n z u r a ʃʲ
întâlnitele	ɨ n t ɨ l n i t e l e
întristară	ɨ n t r i s t a r ə
alcoolice	a l k o o l i t͡ʃ e
întâia	ɨ n t ɨ j a
câștigat	k ɨ ʃ t i ɡ a t
fată	f a t ə
enigmatice	e n i ɡ m a t i t͡ʃ e
scrotalelor	s k r o t a l e l o r
frumuseții	f r u m u s e t s iː
petrece	p e t r e t ʃ e
beregată	b e r e ɡ a t ə
culorile	k u l o r i l e
dușmănitului	d u ʃ m ə n i t u l u j
simplu	s i m p l u
îi	ɨ j
asurzeai	a s u r z j a j
funcționarăm	f u n k t͡s i o n a r ə m
evlavia	e v l a v i a
homosexualilor	h o m o s e k s u a l i l o r
