あば	a̠ b a̠
でし	d e̞ ɕ i
どあ	d o̞ a̠
どや	d o̞ j a̠
どく	d o̞ k ɯ̟ᵝ
どき	d o̞ kʲ i
どの	d o̞ n o̞
どて	d o̞ t e̞
どれ	d o̞ ɾ e̞
どし	d o̞ ɕ i
どう	d o̞ː
どん	d õ̞ ɴ
じや	d ʑ i j a
どぅ	d ɯ̟ᵝ
ざい	d͡z a̠ i
ざく	d͡z a̠ k ɯ̟ᵝ
ざり	d͡z a̠ ɾʲ i
ざん	d͡z ã̠ ɴ
ぜひ	d͡z e̞ ç i
ぜい	d͡z e̞ː
ぜん	d͡z ẽ̞ ɴ
ぞく	d͡z o̞ k ɯ̟ᵝ
ぞう	d͡z o̞ː
ずず	d͡z ɨᵝ z ɨᵝ
ずが	d͡z ɨᵝ ɡ a̠
ずし	d͡z ɨᵝ ɕ i
ずる	d͡z ɨᵝ ɾ ɯ̟ᵝ
ずん	d͡z ɨ̃ᵝ ɴ
じゃ	d͡ʑ a̠
じぼ	d͡ʑ i b o̞
じひ	d͡ʑ i ç i
じだ	d͡ʑ i d a̠
じこ	d͡ʑ i k o̞
じげ	d͡ʑ i ɡ e̞
じふ	d͡ʑ i ɸ ɯ̟ᵝ
じん	d͡ʑ ĩ ɴ
えび	e̞ bʲ i
えい	e̞ i
えそ	e̞ s o̞
えた	e̞ t a̠
えつ	e̞ t͡s ɨᵝ
えぞ	e̞ z o̞
える	e̞ ɾ ɯ̟ᵝ
えり	e̞ ɾʲ i
えん	ẽ̞ ɴ
はば	h a̠ b a̠
はぶ	h a̠ b ɯ̟ᵝ
はで	h a̠ d e̞
はは	h a̠ h a̠
はゆ	h a̠ j ɯ̟ᵝ
はか	h a̠ k a̠
はく	h a̠ k ɯ̟ᵝ
はき	h a̠ kʲ i
はめ	h a̠ m e̞
はむ	h a̠ m ɯ̟ᵝ
はな	h a̠ n a̠
はね	h a̠ n e̞
はせ	h a̠ s e̞
はす	h a̠ s ɨᵝ
はた	h a̠ t a̠
はて	h a̠ t e̞
はつ	h a̠ t͡s ɨᵝ
はげ	h a̠ ɡ e̞
はわ	h a̠ ɰᵝ a̠
はぎ	h a̠ ɡʲ i
はり	h a̠ ɾʲ i
はぁ	h a̠ː
はん	h ã̠ ɴ
へび	h e̞ bʲ i
へや	h e̞ j a̠
へり	h e̞ ɾʲ i
へん	h ẽ̞ ɴ
ほど	h o̞ d o̞
ほこ	h o̞ k o̞
ほな	h o̞ n a̠
ほね	h o̞ n e̞
ほと	h o̞ t o̞
ほざ	h o̞ z a̠
ほし	h o̞ ɕ i
ほり	h o̞ ɾʲ i
ほう	h o̞ː
ほお	h o̞ː
いば	i b a̠
いど	i d o̞
いや	i j a̠
いゆ	i j ɯ̟ᵝ
いか	i k a̠
いけ	i k e̞
いこ	i k o̞
いく	i k ɯ̟ᵝ
いき	i kʲ i
いま	i m a̠
いも	i m o̞
いむ	i m ɯ̟ᵝ
いみ	i mʲ i
いな	i n a̠
いね	i n e̞
いぬ	i n ɯ̟ᵝ
いす	i s ɨᵝ
いた	i t a̠
いて	i t e̞
いと	i t o̞
いつ	i t͡s ɨᵝ
いち	i t͡ɕ i
いざ	i z a̠
いず	i z ɨᵝ
いじ	i ʑ i
いご	i ɡ o̞
いろ	i ɾ o̞
いる	i ɾ ɯ̟ᵝ
いわ	i ɰᵝ a̠
いん	ĩ ɴ
やぶ	j a̠ b ɯ̟ᵝ
やだ	j a̠ d a̠
やこ	j a̠ k o̞
やく	j a̠ k ɯ̟ᵝ
やま	j a̠ m a̠
やみ	j a̠ mʲ i
やお	j a̠ o̞
やざ	j a̠ z a̠
やが	j a̠ ɡ a̠
やし	j a̠ ɕ i
やご	j a̠ ɡ o̞
やぐ	j a̠ ɡ ɯ̟ᵝ
やわ	j a̠ ɰᵝ a̠
やぎ	j a̠ ɡʲ i
いぇ	j e̞
よは	j o̞ h a̠
よい	j o̞ i
よよ	j o̞ j o̞
よこ	j o̞ k o̞
よく	j o̞ k ɯ̟ᵝ
よき	j o̞ kʲ i
よも	j o̞ m o̞
よみ	j o̞ mʲ i
よそ	j o̞ s o̞
よす	j o̞ s ɨᵝ
よご	j o̞ ɡ o̞
よる	j o̞ ɾ ɯ̟ᵝ
よぎ	j o̞ ɡʲ i
より	j o̞ ɾʲ i
よう	j o̞ː
ゆば	j ɯ̟ᵝ b a̠
ゆか	j ɯ̟ᵝ k a̠
ゆき	j ɯ̟ᵝ kʲ i
ゆめ	j ɯ̟ᵝ m e̞
ゆみ	j ɯ̟ᵝ mʲ i
ゆげ	j ɯ̟ᵝ ɡ e̞
ゆる	j ɯ̟ᵝ ɾ ɯ̟ᵝ
ゆう	j ɯ̟ᵝː
かば	k a̠ b a̠
かぶ	k a̠ b ɯ̟ᵝ
かび	k a̠ bʲ i
かど	k a̠ d o̞
かい	k a̠ i
かや	k a̠ j a̠
かか	k a̠ k a̠
かこ	k a̠ k o̞
かむ	k a̠ m ɯ̟ᵝ
かみ	k a̠ mʲ i
かな	k a̠ n a̠
かね	k a̠ n e̞
かの	k a̠ n o̞
かお	k a̠ o̞
かさ	k a̠ s a̠
かそ	k a̠ s o̞
かつ	k a̠ t͡s ɨᵝ
かち	k a̠ t͡ɕ i
かぜ	k a̠ z e̞
かず	k a̠ z ɨᵝ
から	k a̠ ɾ a̠
かげ	k a̠ ɡ e̞
かし	k a̠ ɕ i
かご	k a̠ ɡ o̞
かふ	k a̠ ɸ ɯ̟ᵝ
かる	k a̠ ɾ ɯ̟ᵝ
かり	k a̠ ɾʲ i
かう	k a̠ ɯ̟ᵝ
かあ	k a̠ː
けさ	k e̞ s a̠
けた	k e̞ t a̠
けが	k e̞ ɡ a̠
けり	k e̞ ɾʲ i
けい	k e̞ː
けえ	k e̞ː
こひ	k o̞ ç i
こえ	k o̞ e̞
こい	k o̞ i
こか	k o̞ k a̠
ここ	k o̞ k o̞
こく	k o̞ k ɯ̟ᵝ
こな	k o̞ n a̠
こと	k o̞ t o̞
こち	k o̞ t͡ɕ i
こら	k o̞ ɾ a̠
これ	k o̞ ɾ e̞
こし	k o̞ ɕ i
こじ	k o̞ ʑ i
こご	k o̞ ɡ o̞
ころ	k o̞ ɾ o̞
こり	k o̞ ɾʲ i
こん	k õ̞ ɴ
くい	k ɯ̟ᵝ i
くま	k ɯ̟ᵝ m a̠
くも	k ɯ̟ᵝ m o̞
くみ	k ɯ̟ᵝ mʲ i
くす	k ɯ̟ᵝ s ɨᵝ
かけ	k ɯ̟ᵝ t a̠ k a̠ k e̞
くず	k ɯ̟ᵝ z ɨᵝ
くれ	k ɯ̟ᵝ ɾ e̞
くじ	k ɯ̟ᵝ ʑ i
くろ	k ɯ̟ᵝ ɾ o̞
くる	k ɯ̟ᵝ ɾ ɯ̟ᵝ
くわ	k ɯ̟ᵝ ɰᵝ a̠
くぎ	k ɯ̟ᵝ ɡʲ i
くり	k ɯ̟ᵝ ɾʲ i
うろ	k ɯ̟ᵝː
くき	k ɯ̟̊ᵝ kʲ i
くち	k ɯ̟̊ᵝ t͡ɕ i
くん	k ɯ̟̃ᵝ ɴ
きば	kʲ i b a̠
きぼ	kʲ i b o̞
きび	kʲ i bʲ i
きえ	kʲ i e̞
きよ	kʲ i j o̞
きく	kʲ i k ɯ̟ᵝ
きき	kʲ i kʲ i
きみ	kʲ i mʲ i
きね	kʲ i n e̞
きぬ	kʲ i n ɯ̟ᵝ
きそ	kʲ i s o̞
きす	kʲ i s ɨᵝ
きと	kʲ i t o̞
きざ	kʲ i z a̠
きら	kʲ i ɾ a̠
きじ	kʲ i ʑ i
きご	kʲ i ɡ o̞
きに	kʲ i ɲ̟ i
きり	kʲ i ɾʲ i
きい	kʲ iː
まで	m a̠ d e̞
まえ	m a̠ e̞
まか	m a̠ k a̠
まけ	m a̠ k e̞
まこ	m a̠ k o̞
まき	m a̠ kʲ i
まま	m a̠ m a̠
まめ	m a̠ m e̞
まな	m a̠ n a̠
まね	m a̠ n e̞
ます	m a̠ s ɨᵝ
また	m a̠ t a̠
まと	m a̠ t o̞
まつ	m a̠ t͡s ɨᵝ
まち	m a̠ t͡ɕ i
まず	m a̠ z ɨᵝ
まじ	m a̠ ʑ i
まし	m a̠ ɕ i ɾ a̠
まふ	m a̠ ɸ ɯ̟ᵝ
まに	m a̠ ɲ̟ i
まり	m a̠ ɾʲ i
まあ	m a̠ː
まん	m ã̠ ɴ
めで	m e̞ d e̞
めこ	m e̞ k o̞
めす	m e̞ s ɨᵝ
めし	m e̞ ɕ i
めぎ	m e̞ ɡʲ i
めい	m e̞ː
もい	m o̞ i
もや	m o̞ j a̠
もも	m o̞ m o̞
もの	m o̞ n o̞
もち	m o̞ t͡ɕ i
もず	m o̞ z ɨᵝ
もし	m o̞ ɕ i
もじ	m o̞ ʑ i
もぐ	m o̞ ɡ ɯ̟ᵝ
もる	m o̞ ɾ ɯ̟ᵝ
もり	m o̞ ɾʲ i
もう	m o̞ː
もん	m õ̞ ɴ
むな	m ɯ̟ᵝ n a̠
むね	m ɯ̟ᵝ n e̞
むち	m ɯ̟ᵝ t͡ɕ i
むぎ	m ɯ̟ᵝ ɡʲ i
むに	m ɯ̟ᵝ ɲ̟ i
みけ	mʲ i k e̞
みこ	mʲ i k o̞
みき	mʲ i kʲ i
みな	mʲ i n a̠
みお	mʲ i o̞
みつ	mʲ i t͡s ɨᵝ
みち	mʲ i t͡ɕ i
みず	mʲ i z ɨᵝ
みぎ	mʲ i ɡʲ i
みん	mʲ ĩ ɴ
なべ	n a̠ b e̞
なえ	n a̠ e̞
なは	n a̠ h a̠
なか	n a̠ k a̠
なき	n a̠ kʲ i
なま	n a̠ m a̠
なめ	n a̠ m e̞
なお	n a̠ o̞
なた	n a̠ t a̠
なぜ	n a̠ z e̞
なぞ	n a̠ z o̞
なら	n a̠ ɾ a̠
なわ	n a̠ ɰᵝ a̠
なり	n a̠ ɾʲ i
なん	n ã̠ ɴ
んで	n d e̞
ねず	n e̞
ねこ	n e̞ k o̞
ねた	n e̞ t a̠
ねじ	n e̞ ʑ i
ねえ	n e̞ː
のび	n o̞ bʲ i
のど	n o̞ d o̞
のき	n o̞ kʲ i
のみ	n o̞ mʲ i
のし	n o̞ ɕ i
のり	n o̞ ɾʲ i
ぬか	n ɯ̟ᵝ k a̠
おみ	o m i
おば	o̞ b a̠
おび	o̞ bʲ i
おえ	o̞ e̞
おい	o̞ i
おや	o̞ j a̠
おこ	o̞ k o̞
おく	o̞ k ɯ̟ᵝ
おも	o̞ m o̞
おね	o̞ n e̞
おの	o̞ n o̞
おさ	o̞ s a̠
おそ	o̞ s o̞
おと	o̞ t o̞
おし	o̞ ɕ i
おじ	o̞ ʑ i
おろ	o̞ ɾ o̞
おん	õ̞ ɴ
ぱぁ	p a̠ː
ぽい	p o̞ i
ぽこ	p o̞ k o̞
ぽご	p o̞ ɡ o̞
さび	s a̠ bʲ i
さよ	s a̠ j o̞
さゆ	s a̠ j ɯ̟ᵝ
さけ	s a̠ k e̞
さく	s a̠ k ɯ̟ᵝ
さき	s a̠ kʲ i
さみ	s a̠ mʲ i
ささ	s a̠ s a̠
さつ	s a̠ t͡s ɨᵝ
さが	s a̠ ɡ a̠
さら	s a̠ ɾ a̠
さし	s a̠ ɕ i
さる	s a̠ ɾ ɯ̟ᵝ
さわ	s a̠ ɰᵝ a̠
さぎ	s a̠ ɡʲ i
さぁ	s a̠ː
さん	s ã̠ ɴ
せび	s e̞ bʲ i
せみ	s e̞ mʲ i
せと	s e̞ t o̞
せじ	s e̞ ʑ i
せん	s ẽ̞ ɴ
そば	s o̞ b a̠
そぼ	s o̞ b o̞
そで	s o̞ d e̞
そや	s o̞ j a̠
そこ	s o̞ k o̞
そき	s o̞ kʲ i
その	s o̞ n o̞
そそ	s o̞ s o̞
そと	s o̞ t o̞
そつ	s o̞ t͡s ɨᵝ
それ	s o̞ ɾ e̞
そし	s o̞ ɕ i
そろ	s o̞ ɾ o̞
そふ	s o̞ ɸ ɯ̟ᵝ
そう	s o̞ː
そん	s õ̞ ɴ
すべ	s ɨᵝ b e̞
すい	s ɨᵝ i
すゆ	s ɨᵝ j ɯ̟ᵝ
すね	s ɨᵝ n e̞
すさ	s ɨᵝ s a̠
すす	s ɨᵝ s ɨᵝ
すら	s ɨᵝ ɾ a̠
すし	s ɨᵝ ɕ i
する	s ɨᵝ ɾ ɯ̟ᵝ
すぎ	s ɨᵝ ɡʲ i
すり	s ɨᵝ ɾʲ i
すう	s ɨᵝː
ほか	t a̠
ただ	t a̠ d a̠
たえ	t a̠ e̞
たい	t a̠ i
たか	t a̠ k a̠
たけ	t a̠ k e̞
たこ	t a̠ k o̞
たく	t a̠ k ɯ̟ᵝ
たま	t a̠ m a̠
たみ	t a̠ mʲ i
たね	t a̠ n e̞
たつ	t a̠ t͡s ɨᵝ
たず	t a̠ z ɨᵝ
たが	t a̠ ɡ a̠
たら	t a̠ ɾ a̠
たれ	t a̠ ɾ e̞
たし	t a̠ ɕ i
たじ	t a̠ ʑ i
たる	t a̠ ɾ ɯ̟ᵝ
たに	t a̠ ɲ̟ i
たん	t ã̠ ɴ
てき	t e̞ kʲ i
てめ	t e̞ m e̞
てて	t e̞ t e̞
てつ	t e̞ t͡s ɨᵝ
てら	t e̞ ɾ a̠
てい	t e̞ː
てぇ	t e̞ː
てん	t ẽ̞ ɴ
とび	t o̞ bʲ i
とど	t o̞ d o̞
とい	t o̞ i
とこ	t o̞ k o̞
とく	t o̞ k ɯ̟ᵝ
とき	t o̞ kʲ i
とま	t o̞ m a̠
とめ	t o̞ m e̞
とも	t o̞ m o̞
とみ	t o̞ mʲ i
との	t o̞ n o̞
とす	t o̞ s ɨᵝ
とと	t o̞ t o̞
とち	t o̞ t͡ɕ i
とが	t o̞ ɡ a̠
とら	t o̞ ɾ a̠
とげ	t o̞ ɡ e̞
とし	t o̞ ɕ i
とじ	t o̞ ʑ i
とぅ	t ɯ̟ᵝ
って	t̚ t e̞
つば	t͡s ɨᵝ b a̠
つぼ	t͡s ɨᵝ b o̞
つぶ	t͡s ɨᵝ b ɯ̟ᵝ
つや	t͡s ɨᵝ j a̠
つま	t͡s ɨᵝ m a̠
つめ	t͡s ɨᵝ m e̞
つた	t͡s ɨᵝ t a̠
つが	t͡s ɨᵝ ɡ a̠
つじ	t͡s ɨᵝ ʑ i
つる	t͡s ɨᵝ ɾ ɯ̟ᵝ
つて	t͡s ɨ̥ᵝ t e̞
つつ	t͡s ɨ̥ᵝ t͡s ɨᵝ
ちば	t͡ɕ i b a̠
ちび	t͡ɕ i bʲ i
ちえ	t͡ɕ i e̞
ちゆ	t͡ɕ i j ɯ̟ᵝ
ちか	t͡ɕ i k a̠
ちく	t͡ɕ i k ɯ̟ᵝ
ちめ	t͡ɕ i m e̞
ちみ	t͡ɕ i mʲ i
ちと	t͡ɕ i t o̞
ちず	t͡ɕ i z ɨᵝ
ちし	t͡ɕ i ɕ i
ちご	t͡ɕ i ɡ o̞
つう	t͡ɕ ĩ n t͡s ɨᵝː
がい	ɡ a̠ i
けし	ɡ a̠ i ɕ i
がく	ɡ a̠ k ɯ̟ᵝ
がき	ɡ a̠ kʲ i
がせ	ɡ a̠ s e̞
がそ	ɡ a̠ s o̞
がす	ɡ a̠ s ɨᵝ
がと	ɡ a̠ t o̞
がち	ɡ a̠ t͡ɕ i
らち	ɾ a̠ t͡ɕ i
がず	ɡ a̠ z ɨᵝ
がし	ɡ a̠ ɕ i
らし	ɾ a̠ ɕ i
がふ	ɡ a̠ ɸ ɯ̟ᵝ
がん	ɡ ã̠ ɴ
げや	ɡ e̞ j a̠
れき	ɾ e̞ kʲ i
れお	ɾ e̞ o̞
げた	ɡ e̞ t a̠
げし	ɡ e̞ ɕ i
れい	ɾ e̞ː
げん	ɡ ẽ̞ ɴ
れん	ɾ ẽ̞ ɴ
しば	ɕ i b a̠
しぼ	ɕ i b o̞
しや	ɕ i j a̠
しく	ɕ i k ɯ̟ᵝ
しま	ɕ i m a̠
しめ	ɕ i m e̞
しも	ɕ i m o̞
しみ	ɕ i mʲ i
しな	ɕ i n a̠
しお	ɕ i o̞
しと	ɕ i t o̞
しが	ɕ i ɡ a̠
しご	ɕ i ɡ o̞
しふ	ɕ i ɸ ɯ̟ᵝ
しぎ	ɕ i ɡʲ i
しに	ɕ i ɲ̟ i
しう	ɕ i ɯ̟ᵝ
しん	ɕ ĩ ɴ
しょ	ɕ o̞
ろば	ɾ o̞ b a̠
ろぼ	ɾ o̞ b o̞
ごび	ɡ o̞ bʲ i
ごは	ɡ o̞ h a̠
ろか	ɾ o̞ k a̠
ごく	ɡ o̞ k ɯ̟ᵝ
ろく	ɾ o̞ k ɯ̟ᵝ
ごさ	ɡ o̞ s a̠
ろざ	ɾ o̞ z a̠
ごず	ɡ o̞ z ɨᵝ
ごし	ɡ o̞ ɕ i
ごじ	ɡ o̞ ʑ i
ごご	ɡ o̞ ɡ o̞
ごろ	ɡ o̞ ɾ o̞
ろご	ɾ o̞ ɡ o̞
ろわ	ɾ o̞ ɰᵝ a̠
ろり	ɾ o̞ ɾʲ i
ごう	ɡ o̞ː
ふぼ	ɸ ɯ̟ᵝ b o̞
ふえ	ɸ ɯ̟ᵝ e̞
ふよ	ɸ ɯ̟ᵝ j o̞
ふけ	ɸ ɯ̟ᵝ k e̞
ふな	ɸ ɯ̟ᵝ n a̠
ふね	ɸ ɯ̟ᵝ n e̞
るす	ɾ ɯ̟ᵝ s ɨᵝ
ふた	ɸ ɯ̟ᵝ t a̠
ふじ	ɸ ɯ̟ᵝ ʑ i
ふわ	ɸ ɯ̟ᵝ ɰᵝ a̠
ぐう	ɡ ɯ̟ᵝː
ふと	ɸ ɯ̟̊ᵝ t o̞
ぐん	ɡ ɯ̟̃ᵝ ɴ
ふん	ɸ ɯ̟̃ᵝ ɴ
わな	ɰᵝ a̠ n a̠
わぬ	ɰᵝ a̠ n ɯ̟ᵝ
わら	ɰᵝ a̠ ɾ a̠
わし	ɰᵝ a̠ ɕ i
わご	ɰᵝ a̠ ɡ o̞
わろ	ɰᵝ a̠ ɾ o̞
わる	ɰᵝ a̠ ɾ ɯ̟ᵝ
ぎぼ	ɡʲ i b o̞
りほ	ɾʲ i h o̞
りか	ɾʲ i k a̠
にく	ɲ̟ i k ɯ̟ᵝ
りき	ɾʲ i kʲ i
にな	ɲ̟ i n a̠
にお	ɲ̟ i o̞
にせ	ɲ̟ i s e̞
りす	ɾʲ i s ɨᵝ
りつ	ɾʲ i t͡s ɨᵝ
にち	ɲ̟ i t͡ɕ i
りち	ɾʲ i t͡ɕ i
ぎざ	ɡʲ i z a̠
ぎし	ɡʲ i ɕ i
ぎじ	ɡʲ i ʑ i
にし	ɲ̟ i ɕ i
にじ	ɲ̟ i ʑ i
りし	ɾʲ i ɕ i
りじ	ɾʲ i ʑ i
りろ	ɾʲ i ɾ o̞
ぎふ	ɡʲ i ɸ ɯ̟ᵝ
にふ	ɲ̟ i ɸ ɯ̟ᵝ
にわ	ɲ̟ i ɰᵝ a̠
ぎん	ɡʲ ĩ ɴ
にん	ɲ̟ ĩ ɴ
うぉ	ɰᵝ o̞
りょ	ɾʲ o̞
うば	ɯ̟ᵝ b a̠
うで	ɯ̟ᵝ d e̞
うど	ɯ̟ᵝ d o̞
うえ	ɯ̟ᵝ e̞
うか	ɯ̟ᵝ k a̠
うけ	ɯ̟ᵝ k e̞
うま	ɯ̟ᵝ m a̠
うむ	ɯ̟ᵝ m ɯ̟ᵝ
うみ	ɯ̟ᵝ mʲ i
うね	ɯ̟ᵝ n e̞
うさ	ɯ̟ᵝ s a̠
うす	ɯ̟ᵝ s ɨᵝ
うた	ɯ̟ᵝ t a̠
うつ	ɯ̟ᵝ t͡s ɨᵝ
うず	ɯ̟ᵝ z ɨᵝ
うら	ɯ̟ᵝ ɾ a̠
うし	ɯ̟ᵝ ɕ i
うわ	ɯ̟ᵝ ɰᵝ a̠
うり	ɯ̟ᵝ ɾʲ i
あばよ	a̠ b a̠ j o̞
あばく	a̠ b a̠ k ɯ̟ᵝ
あぶら	a̠ b ɯ̟ᵝ ɾ a̠
あぶる	a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
あびこ	a̠ bʲ i k o̞
あえぐ	a̠ e̞ ɡ ɯ̟ᵝ
あえん	a̠ ẽ̞ ɴ
あへん	a̠ h ẽ̞ ɴ
あほう	a̠ h o̞ː
あいぼ	a̠ i b o̞
あいだ	a̠ i d a̠
あいか	a̠ i k a̠
あいこ	a̠ i k o̞
あいき	a̠ i kʲ i
あいま	a̠ i m a̠
あいち	a̠ i t͡ɕ i
あいじ	a̠ i ʑ i
あいご	a̠ i ɡ o̞
あやか	a̠ j a̠ k a̠
あやめ	a̠ j a̠ m e̞
あゆみ	a̠ j ɯ̟ᵝ mʲ i
あかね	a̠ k a̠ n e̞
あかじ	a̠ k a̠ ʑ i
あかん	a̠ k ã̠ ɴ
あけび	a̠ k e̞ bʲ i
あけみ	a̠ k e̞ mʲ i
あくば	a̠ k ɯ̟ᵝ b a̠
あくび	a̠ k ɯ̟ᵝ bʲ i
あくま	a̠ k ɯ̟ᵝ m a̠
あくめ	a̠ k ɯ̟ᵝ m e̞
あくむ	a̠ k ɯ̟ᵝ m ɯ̟ᵝ
あくろ	a̠ k ɯ̟ᵝ ɾ o̞
あくぎ	a̠ k ɯ̟ᵝ ɡʲ i
あきす	a̠ kʲ i s ɨᵝ
あきた	a̠ kʲ i t a̠
あまき	a̠ m a̠ kʲ i
あまみ	a̠ m a̠ mʲ i
あまな	a̠ m a̠ n a̠
あまぎ	a̠ m a̠ ɡʲ i
あなみ	a̠ n a̠ mʲ i
あなご	a̠ n a̠ ɡ o̞
あなん	a̠ n ã̠ ɴ
あねき	a̠ n e̞ kʲ i
あのう	a̠ n o̞ː
あおい	a̠ o̞ i
あおさ	a̠ o̞ s a̠
あおる	a̠ o̞ ɾ ɯ̟ᵝ
あさひ	a̠ s a̠ ç i̥
あさふ	a̠ s a̠ ɸ ɯ̟ᵝ
あせぼ	a̠ s e̞ b o̞
あせも	a̠ s e̞ m o̞
あせり	a̠ s e̞ ɾʲ i
あそこ	a̠ s o̞ k o̞
あそん	a̠ s õ̞ ɴ
あたま	a̠ t a̠ m a̠
あたし	a̠ t a̠ ɕ i
あてじ	a̠ t e̞ ʑ i
あとり	a̠ t o̞ ɾʲ i
あつい	a̠ t͡s ɨᵝ i
あつか	a̠ t͡s ɨᵝ k a̠
あつま	a̠ t͡s ɨᵝ m a̠
あちら	a̠ t͡ɕ i ɾ a̠
あざな	a̠ z a̠ n a̠
あずき	a̠ z ɨᵝ kʲ i
あがく	a̠ ɡ a̠ k ɯ̟ᵝ
あがき	a̠ ɡ a̠ kʲ i
あらめ	a̠ ɾ a̠ m e̞
あらぬ	a̠ ɾ a̠ n ɯ̟ᵝ
あらた	a̠ ɾ a̠ t a̠
あられ	a̠ ɾ a̠ ɾ e̞
あらし	a̠ ɾ a̠ ɕ i
あらわ	a̠ ɾ a̠ ɰᵝ a̠
あげは	a̠ ɡ e̞ h a̠
あれい	a̠ ɾ e̞ː
あじみ	a̠ ʑ i mʲ i
あしか	a̠ ɕ i̥ k a̠
あしゅ	a̠ ɕ ɨᵝ
あすら	a̠ ɕ ɨᵝ ɾ a̠
あぐり	a̠ ɡ ɯ̟ᵝ ɾʲ i
あわや	a̠ ɰᵝ a̠ j a̠
あわせ	a̠ ɰᵝ a̠ s e̞
あわれ	a̠ ɰᵝ a̠ ɾ e̞
あうん	a̠ ɯ̟̃ᵝ ɴ
あんぴ	ã̠ m pʲ i
あんず	ã̠ n d͡z ɨᵝ
あんた	ã̠ n t a̠
あんな	ã̠ nː a̠
ばあい	b a̠ a̠ i
ばばあ	b a̠ b a̠ː
ばかし	b a̠ k a̠ ɕ i
ばかり	b a̠ k a̠ ɾʲ i
ばくが	b a̠ k ɯ̟ᵝ ɡ a̠
ばくろ	b a̠ k ɯ̟ᵝ ɾ o̞
ばっか	b a̠ k̚ k a̠
ばなな	b a̠ n a̠ n a̠
ばぬし	b a̠ n ɯ̟ᵝ ɕ i
ばさし	b a̠ s a̠ ɕ i
ばとう	b a̠ t o̞ː
ばしゃ	b a̠ ɕ a̠
ばしょ	b a̠ ɕ o̞
ばしゅ	b a̠ ɕ ɨᵝ
ばふだ	b a̠ ɸ ɯ̟ᵝ d a̠
ばにく	b a̠ ɲ̟ i k ɯ̟ᵝ
ばりき	b a̠ ɾʲ i kʲ i
ばんこ	b ã̠ ŋ k o̞
ばんじ	b ã̠ ɲ̟ d͡ʑ i
ばんき	b ã̠ ŋʲ kʲ i
べっぷ	b e̞ p̚ p ɯ̟ᵝ
べんぴ	b ẽ̞ m pʲ i
べんち	b ẽ̞ ɲ̟ t͡ɕ i
ぼだい	b o̞ d a̠ i
ぼかん	b o̞ k ã̠ ɴ
ぼけい	b o̞ k e̞ː
ぼくふ	b o̞ k ɯ̟ᵝ ɸ ɯ̟ᵝ
ぼっか	b o̞ k̚ k a̠
