ab	a b
arni	a r n i
arosfa	a r ɔ s v a
arthan	a r θ a n
arweiniad	a r w e i̯ n j a d
arweinydd	a r w e i̯ n ɪ ð
arweinyddion	a r w e i̯ n ə ð j ɔ n
asid	a s ɪ d
asyn	a s ɪ n
ata	a t a
atal	a t a l
atalnod	a t a l n ɔ d
at	a t
athrawes	a θ r a u̯ ɛ s
ati	a t i
ato	a t ɔ
aton	a t ɔ n
aur	a i̯ r
awchus	a u̯ χ ɪ s
awdl	a u̯ d l
awen	a u̯ ɛ n
awgrym	a u̯ ɡ r ɪ m
awgrymiad	a u̯ ɡ r ə m j a d
awgrymu	a u̯ ɡ r ə m i
awn	a u̯ n
awr	a u̯ r
awst	a u̯ s d
awydd	a u̯ ɪ ð
awyr	a u̯ ɪ r
bach	b aː χ
bachgennyn	b a χ ɡ ɛ n ɪ n
bae	b a i̯
baedd	b a i̯ ð
baet	b a i̯ t
baith	b a i̯ θ
ban	b a n
bangor	b a ŋ ɡ ɔ r
banjo	b a n d͡ʒ ɔ
barcud	b a r k ɪ d
bardd	b a r ð
barfog	b a r v ɔ ɡ
barn	b a r n
barnu	b a r n i
baroted	b a r ɔ t ɛ d
bas	b aː s
baw	b a u̯
bawdd	b a u̯ ð
bawn	b a u̯ n
bedd	b eː ð
bedr	b ɛ d r
bedwen	b ɛ d w ɛ n
beichiog	b e i̯ χ j ɔ ɡ
belffast	b ɛ l f a s d
bengwin	b ɛ ŋ ɡ w ɪ n
ber	b ɛ r
berf	b ɛ r v
beth	b eː θ
birmingham	b ə r m ɪ ŋ h a m
blaidd	b l a i̯ ð
blanced	b l a ŋ k ɛ d
ble	b l eː
blin	b l iː n
blith	b l iː θ
boch	b oː χ
bochdew	b ɔ χ d ɛ u̯
bod	b oː d
bodd	b oː ð
bol	b ɔ l
bôm	b oː m
bôn	b oː n
bondigrybwyll	b ɔ n d ɪ ɡ r ə b ʊ i̯ ɬ
bopty	b ɔ p t i
bord	b ɔ r d
bordydd	b ɔ r d ɪ ð
brad	b r aː d
braf	b r aː v
braich	b r a i̯ χ
brain	b r a i̯ n
brân	b r aː n
braster	b r a s t ɛ r
brathu	b r a θ i
brechdan	b r ɛ χ d a n
brecwast	b r ɛ k w a s t
bresych	b r ɛ s ɪ χ
bresychen	b r ɛ s ə χ ɛ n
brexit	b r ɛ k s ɪ t
bri	b r iː
brics	b r ɪ k s
bricyll	b r ɪ k ɪ ɬ
brig	b r iː ɡ
briw	b r ɪ u̯
brochion	b r ɔ χ j ɔ n
bron	b r ɔ n
bronwen	b r ɔ n w ɛ n
brown	b r o u̯ n
brwyn	b r ʊ i̯ n
bryfed	b r ə v ɛ d
brys	b r iː s
bryste	b r ɪ s t ɛ
budd	b iː ð
bûm	b iː m
bum	b ɪ m
bur	b iː r
buwch	b ɪ u̯ χ
bwced	b ʊ k ɛ d
bwlch	b ʊ l χ
bwrdd	b ʊ r ð
bwyd	b ʊ i̯ d
bychan	b ə χ a n
byd	b iː d
byddi	b ə ð i
byddwch	b ə ð ʊ χ
byddwn	b ə ð ʊ n
byr	b ɪ r
bysell	b ə s ɛ ɬ
bysellfwrdd	b ə s ɛ ɬ v ʊ r ð
byth	b ɪ θ
byw	b ɪ u̯
bywiog	b ɪ u̯ j ɔ ɡ
cach	k aː χ
cactws	k a k t ʊ s
cadd	k aː ð
cadernid	k a d ɛ r n i d
cad	k aː d
cadnawes	k a d n a u̯ ɛ s
cadno	k a d n ɔ
caed	k a i̯ d
caeir	k e i̯ ɪ r
caem	k a i̯ m
caen	k a i̯ n
caergrawnt	k a i̯ r ɡ r a u̯ n t
caerhirfryn	k a i̯ r h ɪ r v r ɪ n
caer	k a i̯ r
caerloyw	k a i̯ r l ɔ i̯ u
caerlŷr	k a i̯ r l iː r
caerwrangon	k a i̯ r w r a ŋ ɔ n
caffai	k a f a i̯
caffed	k a f ɛ d
caffent	k a f ɛ n t
caffer	k a f ɛ r
caffîn	k a f iː n
cafiar	k a v j a r
cafiâr	k a v j aː r
cain	k a i̯ n
caint	k a i̯ n t
cais	k a i̯ s
cait	k a i̯ t
ca	k aː
calenigion	k a l ɛ n ɪ ɡ j ɔ n
caleted	k a l ɛ t ɛ d
calon	k a l ɔ n
calsiwm	k a l s j ʊ m
camgymeriad	k a m ɡ ə m ɛ r j a d
camu	k a m i
cangarŵ	k a ŋ ɡ a r uː
canghellor	k a ŋ h ɛ ɬ ɔ r
canhwyllbren	k a n h ʊ i̯ ɬ b r ɛ n
canlyniad	k a n l ə n j a d
canolbarth	k a n ɔ l b a r θ
cansen	k a n s ɛ n
cant	k a n t
capel	k a p ɛ l
carbon	k a r b ɔ n
carfil	k a r v ɪ l
carnedd	k a r n ɛ ð
carreg	k a r ɛ ɡ
carsi	k a r s i
carthen	k a r θ ɛ n
cartre	k a r t r ɛ
carwr	k a r ʊ r
casáu	k a s a i̯
casgen	k a s ɡ ɛ n
casglu	k a s ɡ l i
cath	k aː θ
cato	k a t ɔ
cawl	k a u̯ l
cawr	k a u̯ r
caws	k a u̯ s
cbac	k b a k
cefnog	k ɛ v n ɔ ɡ
ceg	k eː ɡ
cei	k e i̯
ceillgwd	k e i ɬ ɡ ʊ d
ceinach	k e i̯ n a χ
ceirios	k e i̯ r j ɔ s
ceir	k e i̯ r
celli	k ɛ ɬ i
cell	k ɛ ɬ
celynnen	k ɛ l ə n ɛ n
cen	k ɛ n
cerdded	k ɛ r ð ɛ d
cerdd	k ɛ r ð
cer	k ɛ r
cesar	k ɛ s a r
chad	χ aː d
chaen	χ a i̯ n
chaffed	χ a f ɛ d
chaffer	χ a f ɛ r
chain	χ a i̯ n
chais	χ a i̯ s
chalenigion	χ a l ɛ n ɪ ɡ j ɔ n
chalon	χ a l ɔ n
chansen	χ a n s ɛ n
chant	χ a n t
chân	χ aː n
char	χ a r
chastell	χ a s d ɛ ɬ
chas	χ aː s
chato	χ a t ɔ
chaws	χ a u̯ s
chdi	χ d iː
chei	χ e i̯
chell	χ ɛ ɬ
chestyll	χ ɛ s d ɪ ɬ
chest	χ ɛ s t
ches	χ eː s
chi	χ iː
chlwb	χ l ʊ b
chlyw	χ l ɪ u̯
chly	χ l iː
chnwd	χ n uː d
choeg	χ ɔ i̯ ɡ
chor	χ ɔ r
chosyn	χ ɔ s ɪ n
christ	χ r ɪ s t
chrwth	χ r uː θ
chul	χ iː l
chusanu	χ ɪ s aː n i
chut	χ ɪ t
chwalu	χ w a l i
chwern	h w ɛ r n
chwi	χ w iː
chwrs	χ ʊ r s
chwyth	h w iː θ
chyfiawnder	χ ə v j a u̯ n d ɛ r
chyfreithiwr	χ ə v r e i̯ θ j ʊ r
chymorth	χ ə m ɔ r θ
chymru	χ ə m r i
cig	k iː ɡ
ci	k iː
cilbost	k ɪ l b ɔ s t
cilddant	k ɪ l ð a n t
cildroi	k ɪ l d r ɔ i̯
ciledrych	k ɪ l ɛ d r ɪ χ
cilgant	k ɪ l ɡ a n t
cil	k iː l
cilwen	k ɪ l w ɛ n
ciwdod	k ɪ u̯ d ɔ d
claf	k l aː v
clas	k l aː s
cledd	k l eː ð
clirio	k l ɪ r j ɔ
cloch	k l oː χ
cloddfa	k l ɔ ð v a
cloem	k l ɔ i̯ m
cloent	k l ɔ i̯ n t
cloi	k l ɔ i̯
clois	k l ɔ i̯ s
cloit	k l ɔ i̯ t
clo	k l oː
closed	k l ɔ s ɛ d
closet	k l ɔ s ɛ t
clou	k l ɔ i̯
clown	k l ɔ u̯ n
clustdlws	k l ɪ s d l ʊ s
clwt	k l ʊ t
clwyd	k l ʊ i̯ d
clymu	k l ə m i
clywaf	k l ə w a v
clyw	k l ɪ u̯
cnwd	k n uː d
cobra	k ɔ b r a
coch	k oː χ
coeden	k ɔ i̯ d ɛ n
coegog	k ɔ i̯ ɡ ɔ ɡ
coelcerth	k ɔ i̯ l k ɛ r θ
coel	k ɔ i̯ l
coffi	k ɔ f i
cofia	k ɔ v j a
cofiem	k ɔ v j ɛ m
cofio	k ɔ v j ɔ
cofiwn	k ɔ v j ʊ n
cof	k oː v
cofnodion	k ɔ v n ɔ d j ɔ n
cofnod	k ɔ v n ɔ d
colfen	k ɔ l v ɛ n
colli	k ɔ ɬ i
collnod	k ɔ ɬ n ɔ d
coma	k ɔ m a
condemnio	k ɔ n d ɛ m n j ɔ
conwy	k ɔ n ʊ i̯
copog	k ɔ p ɔ ɡ
corff	k ɔ r f
corgi	k ɔ r ɡ i
corgwn	k ɔ r ɡ ʊ n
cor	k ɔ r
côr	k oː r
corn	k ɔ r n
cosyn	k ɔ s ɪ n
crair	k r a i̯ r
cramen	k r a m ɛ n
cred	k r eː d
cref	k r eː v
crempog	k r ɛ m p ɔ ɡ
creto	k r ɛ t ɔ
crist	k r ɪ s t
criw	k r ɪ u̯
croeniog	k r ɔ i̯ n j ɔ ɡ
croesair	k r ɔ i̯ s a i̯ r
croesffordd	k r ɔ i̯ s f ɔ r ð
croesgad	k r ɔ i̯ s ɡ a d
croeshoelio	k r ɔ i̯ s h ɔ i̯ l j ɔ
croesi	k r ɔ i̯ s i
croestorri	k r ɔ i̯ s d ɔ r i
crog	k r oː ɡ
croglen	k r ɔ ɡ l ɛ n
cromlech	k r ɔ m l ɛ χ
cronni	k r ɔ n i
croth	k r oː θ
crwn	k r ʊ n
crwth	k r uː θ
crwyn	k r ʊ i̯ n
crychydd	k r ə χ ɪ ð
cryf	k r iː v
crymu	k r ə m i
crynu	k r ə n i
crynwr	k r ə n ʊ r
crynwyr	k r ə n w ɪ r
cucumer	k ɪ k ɪ m ɛ r
cuddio	k ɪ ð j o
cu	k iː
cul	k iː l
cusan	k ɪ s a n
cut	k ɪ t
cwb	k ʊ b
cwestiwn	k w ɛ s t j ʊ n
cwis	k w ɪ s
cwm	k ʊ m
cwmpas	k ʊ m p a s
cwmpawd	k ʊ m p a u̯ d
cwmwd	k ʊ m ʊ d
cwmwl	k ʊ m ʊ l
cwningen	k ʊ n ɪ ŋ ɛ n
cŵn	k uː n
cwpwrdd	k ʊ p ʊ r ð
cwsg	k ʊ s ɡ
cwta	k ʊ t a
cwtiar	k ʊ t j a r
cwymp	k ʊ ɪ̯ m p
cwyn	k ʊ i̯ n
cwyno	k ʊ i̯ n ɔ
cwyr	k ʊ i̯ r
cydbreswylwyr	k iː d b r ɛ s ʊ i̯ l w ɪ r
cyfarch	k ə v a r χ
cyfarchol	k ə v a r χ ɔ l
cyfarfod	k ə v a r v ɔ d
cyfathrach	k ə v a θ r a χ
cyfddydd	k ə v ð ɪ ð
cyfforddus	k ə f ɔ r ð ɪ s
cyffwrdd	k ə f ʊ r ð
cyffylog	k ə f ə l ɔ ɡ
cyfieithu	k ə v j e i̯ θ i
cyfieithydd	k ə v j e i̯ θ ɪ ð
cyfle	k ə v l ɛ
cyflwr	k ə v l ʊ r
cyflwyno	k ə v l ʊ i̯ n ɔ
cyfnewid	k ə v n ɛ u̯ ɪ d
cyfnod	k ə v n ɔ d
cyfnos	k ə v n ɔ s
cyfoethog	k ə v ɔ i̯ θ ɔ ɡ
cyfreithiwr	k ə v r e i̯ θ j ʊ r
cyfrifiant	k ə v r ɪ v j a n t
cyfrin	k ə v r ɪ n
cyfrol	k ə v r ɔ l
cyfrwy	k ə v r ʊ i̯
cyfrwyo	k ə v r ʊ i̯ ɔ
cyfyng	k ə v ɪ ŋ
cyhyd	k ə h iː d
cyhydnos	k ə h ə d n ɔ s
cyhyr	k ə h ɪ r
cyhyrog	k ə h ə r ɔ ɡ
cylchu	k ə l χ i
cylion	k ə l j ɔ n
cyll	k ɪ ɬ
cymal	k ə m a l
cymorthion	k ə m ɔ r θ j ɔ n
cymorth	k ə m ɔ r θ
cymraes	k ə m r a i̯ s
cymru	k ə m r i
cymryd	k ə m r ɪ d
cymry	k ə m r i
cynddrwg	k ə n ð r ʊ ɡ
cyngor	k ə ŋ ɔ r
cynhadledd	k ə n h a d l ɛ ð
cynhaeaf	k ə n h aː i̯ a v
cynhorthwy	k ə n h ɔ r θ ʊ i̯
cynhyrchu	k ə n h ə r χ i
cŷn	k iː n
cyn	k ɪ n
cynnig	k ə n ɪ ɡ
cynnud	k ə n ɪ d
cynnull	k ə n ɪ ɬ
cynnwrf	k ə n ʊ r ə v
cynnwys	k ə n ʊ i̯ s
cynnydd	k ə n ɪ ð
cynnyrch	k ə n ɪ r χ
cyntedd	k ə n t ɛ ð
cyrchu	k ə r χ i
cysylltiad	k ə s ə ɬ d j a d
cysylltu	k ə s ə ɬ d i
cywir	k ə u̯ ɪ r
da	d aː
dad	d aː d
dadiol	d a d j ɔ l
dadl	d a d l
dadleuol	d a d l e i̯ ɔ l
dadleuon	d a d l e i̯ ɔ n
dadwreiddio	d a d ʊ r ɛ i̯ ð j ɔ
daearfoch	d e i̯ a r v ɔ χ
dail	d a i̯ l
dalcen	d a l k ɛ n
dal	d a l
dâl	d aː l
dalfa	d a l v a
dalia	d a l j a
daliaf	d a l j a v
dan	d a n
dân	d aː n
danfon	d a n v ɔ n
dangos	d a ŋ ɡ ɔ s
dant	d a n t
darian	d a r j a n
darllen	d a r ɬ ɛ n
darlunio	d a r l ɪ n j ɔ
darpar	d a r p a r
datblygiad	d a t b l ə ɡ j a d
dathlu	d a θ l i
datys	d a t ɪ s
daw	d a u̯
dawn	d a u̯ n
ddail	ð a i̯ l
ddant	ð a n t
ddarllen	ð a r ɬ ɛ n
ddathlu	ð a θ l i
dde	ð eː
ddegfed	ð ɛ ɡ v ɛ d
ddeilen	ð e i̯ l ɛ n
ddeng	ð ɛ ŋ
ddeset	ð ɛ s ɛ t
ddeuddeg	ð e i̯ ð ɛ ɡ
ddeuddegfed	ð e i̯ ð ɛ ɡ v ɛ d
ddolis	ð ɔ l i z
ddos	ð oː s
dduw	ð ɪ u̯
ddyn	ð iː n
decaf	d ɛ k a v
deddfu	d ɛ ð v i
de	d eː
deffro	d ɛ f r ɔ
degfed	d ɛ ɡ v ɛ d
dei	d e i̯
deigr	d e i̯ ɡ r
deigrod	d e i̯ ɡ r ɔ d
deigryn	d e i̯ ɡ r ɪ n
deng	d ɛ ŋ
derbyn	d ɛ r b ɪ n
derbyniad	d ɛ r b ə n j a d
derbyniol	d ɛ r b ə n j o l
derbynneb	d ɛ r b ə n ɛ b
derwen	d ɛ r w ɛ n
desen	d ɛ s ɛ n
deses	d ɛ s ɛ s
deset	ð ɛ s ɛ t
deuddeg	d e i̯ ð ɛ ɡ
deuddegfed	d e i̯ ð ɛ ɡ v ɛ d
deunydd	d ə i̯ n ɪ ð
deusaith	d e i̯ s a i̯ θ
dewch	d ɛ u̯ χ
dewed	d ɛ u̯ ɛ d
dewi	d ɛ u̯ i
deyrnaddoliant	d e i̯ r n a ð ɔ l j a n t
diarhebion	d i a r h ɛ b j ɔ n
diddordeb	d ɪ ð ɔ r d ɛ b
di	d iː
didranc	d ɪ d r a ŋ k
difetha	d ɪ v ɛ θ a
digwyddaf	d ɪ ɡ w ə ð a f
digwydd	d ɪ ɡ w ɪ ð
dileu	d ɪ l e i̯
dillad	d ɪ ɬ a d
dim	d ɪ m
dirmyg	d ɪ r m ɪ ɡ
dirmygus	d ɪ r m ə ɡ ɪ s
disgybl	d ɪ s ɡ ɪ b l
diwedd	d ɪ u̯ ɛ ð
do'ch	d oː χ
dod	d oː d
doeddech	d ɔ i̯ ð ɛ χ
doedden	d ɔ i̯ ð ɛ n
doeddet	d ɔ i̯ ð ɛ t
doem	d ɔ i̯ m
doen	d ɔ i̯ n
doer	d ɔ i̯ r
dof	d oː v
dogfen	d ɔ ɡ v ɛ n
doid	d ɔ i̯ d
doir	d ɔ i̯ r
dois	d ɔ i̯ s
doit	d ɔ i̯ t
dòl	d ɔ l
dolffin	d ɔ l f ɪ n
doli	d ɔ l i
do'n	d oː n
dorra	d ɔ r a
dorrent	d ɔ r ɛ n t
dorrid	d ɔ r ɪ d
dorsen	d ɔ r s ɛ n
dowd	d o u̯ d
down	d o u̯ n
drawant	d r a u̯ a n t
dre	d r eː
droen	d r ɔ i̯ n
droet	d r ɔ i̯ t
droid	d r ɔ i̯ d
dros	d r ɔ s
drown	d r o u̯ n
drwg	d r uː ɡ
drws	d r uː s
drwydded	d r ʊ i̯ ð ɛ d
drwy	d r ʊ i̯
dry	d r iː
du	d iː
dug	d iː ɡ
duw	d ɪ u̯
dwfr	d ʊ v r
dwg	d uː ɡ
dwyieithog	d ʊ i̯ j e i̯ θ ɔ ɡ
dwyn	d ʊ i̯ n
dwys	d ʊ i̯ s
dwyt	d ʊ i̯ t
dybarth	d ə b a r θ
dyblu	d ə b l i
dy	d ə
dŷ	d iː
dydw	d ə d u
dydy	d ə d i
dyfeiswraig	d ə v e i̯ s w r a i̯ ɡ
dyffryn	d ə f r ɪ n
dyfi	d ə v i
dyfnion	d ə v n j ɔ n
dyfrdwy	d ə v r d ʊ i̯
dyfrfarch	d ə v r v a r χ
dyfrgi	d ə v r ɡ i
dyfynnod	d ə v ə n ɔ d
dylan	d ə l a n
dylanwad	d ə l a n w a d
dylu	d ə l ɪ
dyma	d ə m a
dyn	d iː n
dynladdiad	d iː n l a ð j a d
dynleiddiad	d iː n l e i̯ ð j a d
dyr	d ɪ r
dysgwr	d ə s ɡ ʊ r
ebargofiant	ɛ b a r ɡ ɔ v j a n t
ebrill	ɛ b r ɪ ɬ
ebychnod	ɛ b ə χ n ɔ d
ecogyfeillgar	ɛ k ɔ ɡ ə v e i̯ ɬ ɡ a r
edfryd	ɛ d v r ɪ d
edliw	ɛ d l ɪ u̯
edn	ɛ d n
edrych	ɛ d r ɪ χ
edwyn	ɛ d w ɪ n
efengylu	ɛ v ɛ ŋ ə l i
ef	eː v
efrog	ɛ v r ɔ ɡ
egwyddor	ɛ ɡ ʊ i̯ ð ɔ r
eiddew	e i ð ɛ u̯
eid	e i̯ d
eilir	e i̯ l ɪ r
eira	e i̯ r a
eir	e i̯ r
eiriadurwyr	e i̯ r j a d ɪ r w ɪ r
eirin	e i̯ r ɪ n
eirlithrad	e i r l ɪ θ r a d
eirlys	e i̯ r l ɪ s
eirth	e i̯ r θ
eisteddle	e i̯ s d ɛ ð l ɛ
êl	eː l
elfed	ɛ l v ɛ d
elfen	ɛ l v ɛ n
eliffant	ɛ l ɪ f a n t
elli	ɛ ɬ i
elltydd	ɛ ɬ d ɪ ð
elsai	ɛ l s a i̯
elsech	ɛ l s ɛ χ
elsem	ɛ l s ɛ m
elsent	ɛ l s ɛ n t
elsid	ɛ l s ɪ d
elsit	ɛ l s ɪ t
elswn	ɛ l s ʊ n
elwa	ɛ l w a
emrys	ɛ m r ɪ s
enfys	ɛ n v ɪ s
engyl	ɛ ŋ ɪ l
ennill	ɛ n ɪ ɬ
erchyll	ɛ r χ ɪ ɬ
erfyn	ɛ r v ɪ n
ergyd	ɛ r ɡ ɪ d
es	eː s
esgid	ɛ s ɡ ɪ d
esgyrn	ɛ s ɡ ɪ r n
estron	ɛ s d r ɔ n
euog	e i̯ ɔ ɡ
euthum	e i̯ θ ɪ m
ewch	ɛ ʊ̯ χ
ewin	ɛ u̯ ɪ n
fab	v aː b
fach	v aː χ
fadfall	v a d v a ɬ
faet	v a i̯ t
fag	v aː ɡ
faint	v a i̯ n t
fair	v a i̯ r
fam	m a m
fampir	v a m p ɪ r
farn	v a r n
fathemateg	v a θ ɛ m a t ɛ ɡ
fawn	v a u̯ n
fawrth	v a u̯ r θ
fechan	v eː χ a n
fedra	v ɛ d r a
felly	v ɛ ɬ i
fel	v ɛ l
ferch	v ɛ r χ
fersiwn	v ɛ r ʃ ʊ n
fether	v ɛ θ ɛ r
fe	v eː
ffa	f aː
ffair	f a i̯ r
ffenestri	f ɛ n ɛ s d r i
ffilm	f ɪ l m
fflapjac	f l a p d͡ʒ a k
ffoi	f o i̯
ffon	f ɔ n
ffôn	f oː n
ffowlyn	f o u̯ l ɪ n
ffrancwr	f r a ŋ k ʊ r
ffrancwyr	f r a ŋ k w ɪ r
ffrengig	f r ɛ ŋ ɪ ɡ
ffres	f r ɛ ʃ
ffrind	f r ɪ n d
ffrwchnedd	f r ʊ χ n ɛ ð
ffrwd	f r uː d
ffrwyth	f r ʊ i̯ θ
ffurf	f ɪ r v
ffurfio	f ɪ r v j ɔ
ffurfiol	f ɪ r v j ɔ l
ffwciaf	f ʊ k j a v
ffwrcho	f ʊ r χ ɔ
ffwrn	f ʊ r n
ffyn	f ɪ n
ficer	v ɪ k ɛ r
fil	v iː l
flaidd	v l a i̯ ð
flin	v l iː n
foes	v ɔ i̯ s
fol	v ɔ l
fôr	v oː r
fo	v oː
frân	v r aː n
frecwast	v r ɛ k w a s t
frith	v r iː θ
fri	v r iː
froch	v r oː χ
fron	v r ɔ n
fwg	v uː ɡ
fwyd	v ʊ i̯ d
fwy	v ʊ i̯
fyr	v ɪ r
fys	v iː s
gach	ɡ aː χ
gad	ɡ aː d
gadawed	ɡ a d a u̯ ɛ d
gadd	ɡ aː ð
gaeafgysgu	ɡ e i̯ a v ɡ ə s ɡ i
gaed	ɡ a i̯ d
gaf	ɡ aː v
gaffai	ɡ a f a i̯
gaffed	ɡ a f ɛ d
gaffel	ɡ a f ɛ l
gaffent	ɡ a f ɛ n t
gaffer	ɡ a f ɛ r
gafrewig	ɡ a v r ɛ w ɪ ɡ
gain	ɡ a i̯ n
gaint	ɡ a i̯ n t
gair	ɡ a i̯ r
gais	ɡ a i̯ s
gait	ɡ a i̯ t
gâl	ɡ aː l
galennig	ɡ a l ɛ n ɪ ɡ
galeted	ɡ a l ɛ t ɛ d
galla	ɡ a ɬ a
gallan	ɡ a ɬ a n
gallant	ɡ a ɬ a n t
galled	ɡ a ɬ ɛ d
gallen	ɡ a ɬ ɛ n
galler	ɡ a ɬ ɛ r
galli	ɡ a ɬ i
gallo	ɡ a ɬ ɔ
gallu	ɡ a ɬ i
galon	ɡ a l ɔ n
gân	ɡ aː n
gansai	ɡ a n s a i̯
gar	ɡ a r
gardd	ɡ a r ð
gas	ɡ aː s
gastell	ɡ a s d ɛ ɬ
gath	ɡ aː θ
gato	ɡ a t ɔ
gawn	ɡ a u̯ n
gaws	ɡ a u̯ s
gefeilles	ɡ ɛ v e i̯ ɬ ɛ s
gei	ɡ e i̯
gelli	ɡ ɛ ɬ i
gellygen	ɡ ɛ ɬ ə ɡ ɛ n
gêm	ɡ eː m
